target,scenario,set,model,fold,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
toc,lab_known,A,ridge,test2023,185,0.10175031464439908,0.06096413653575521,0.1705589148664029,0.27504829247695634,0.0972972972972973,-0.04576712273410166,-0.16487966694970976,0.10313907992843141,0.6201861707422085,0.5359025585415881
toc,lab_known,A,ridge,test2024,112,0.08988196499762569,0.04197916528273727,0.1774948433498802,0.19409145187291857,0.08303571428571428,-0.08244947093914812,-0.17789987672103436,-0.043328262351981575,6.056395385549293,1.940351407606604e-08
toc,lab_known,A,ridge,test2025,205,0.054930803848084526,0.04830236207501191,0.06585648030434402,0.07908517642981772,0.04634146341463411,-0.18534892514287749,-0.24335465668710432,-0.11164326512192489,8.696278795613924,1.138983122480915e-15
toc,lab_known,A,ridge,test2026,131,0.07991543616830886,0.04793953918522293,0.11156575595196645,0.17141982479029705,0.07022900763358775,-0.13792631935309418,-0.23910833215768149,-0.09319318930135465,12.509204140141813,4.655087376022883e-24
toc,lab_known,A,ridge,POOLED,633,0.07996891819250189,0.05987364636625242,0.10570135778817674,0.19204690502750152,0.07266982622432858,-0.10044185251855886,-0.1586816229664439,-0.037859565101754984,3.5505437720118165,0.00041300353907027936
toc,lab_known,A,rf,test2023,185,0.10093356017163142,0.06278914737398124,0.16358878191518358,0.2757788414797583,0.0972972972972973,-0.037372701763989546,-0.11572638045923923,0.017953435145341857,1.6328988847472377,0.10420032537168912
toc,lab_known,A,rf,test2024,112,0.09324352776625992,0.04586113924726557,0.1780543818858923,0.19083121745596782,0.08303571428571428,-0.12293280750764635,-0.3028493727255566,-0.04626093985495409,4.886793806709291,3.476235616238401e-06
toc,lab_known,A,rf,test2025,205,0.04938028532143747,0.04210300571699472,0.06220139558201615,0.0774417105911386,0.04634146341463411,-0.06557457798891453,-0.0913753856605243,-0.035602505705918094,3.725120638251975,0.00025266592909884865
toc,lab_known,A,rf,test2026,131,0.08454293630979341,0.040811145924750096,0.12184111307643779,0.19599748033111125,0.07022900763358775,-0.20381789745466783,-0.25968994688965125,-0.042715020991850726,2.108791756555056,0.03688107908116708
toc,lab_known,A,rf,POOLED,633,0.07948509777101193,0.058721993465161174,0.10370707884056644,0.19637486619411063,0.07266982622432858,-0.09378406280544693,-0.13417627114265201,-0.04115184632083116,4.068623646900203,5.32787358012904e-05
toc,lab_known,A,hgb,test2023,185,0.10424512829804389,0.06589938215370146,0.16829170694710865,0.27778191082016684,0.0972972972972973,-0.0714082630632289,-0.18162649895322963,-0.005506646163621724,2.4609653502011626,0.014778479339808994
